major_cn,major_code,category,added_or_removed,year,policy_signal,notes
具身智能,TBD,交叉学科,新增,2026,★★★★★,"9所顶尖高校超常设置；哈工大/北航等；直接对应新一代AI国家专项"
脑机科学与技术,TBD,交叉学科,新增,2026,★★★★★,"脑科学国家重大专项直接对应；交叉学科新类"
生物制造,TBD,工学,新增,2026,★★★★★,"合成生物学重点研发计划对应；十五五战略产业"
能源科学与工程,TBD,工学,新增,2026,★★★★★,"精准对接国家战略需求；双碳政策直接驱动"
深地科学与工程,TBD,工学,新增,2026,★★★☆☆,"深地国家专项对应；资源勘探战略"
农业机器人,TBD,工学,新增,2026,★★★☆☆,"传统农业升级改造；智能制造延伸"
数字文旅,TBD,管理,新增,2026,★★☆☆☆,"服务业扩能；文旅数字化"
商业人工智能,TBD,管理,新增,2026,★★★☆☆,"AI应用落地；商科+技术交叉"
交通能源融合工程,TBD,工学,新增,2026,★★★☆☆,"新能源汽车+交通；十五五交叉方向"
未来机器人,TBD,交叉学科,新增,2025,★★★★☆,"交叉学科新类；对应智能制造战略"
人工智能,080717T,工学,快速扩张,2019-2026,★★★★★,"十四五期间扩张最快；已在500+所高校开设"
新能源科学与工程,080503T,工学,持续扩张,2018-2026,★★★★★,"双碳驱动；与能源科学与工程形成梯队"
数据科学与大数据技术,080910T,工学,扩张,2016-2026,★★★★☆,"数字经济基础设施"
集成电路设计与集成系统,080710T,工学,扩张,2020-2026,★★★★★,"芯片国产化战略；十四五新增重点"
智能制造工程,080216T,工学,扩张,2019-2026,★★★★☆,"智能制造国家战略"
机器人工程,080803T,工学,扩张,2016-2026,★★★★☆,"制造业升级"
生物医学工程,080601,工学,稳定增长,2000-2026,★★★★☆,"医工结合；医疗器械行业"
碳储科学与工程,TBD,工学,新增,2023,★★★☆☆,"碳中和；CCUS技术"
法医学,100301K,医学,稳定,N/A,★★★☆☆,"稳定就业但总量小"
会计学,120203K,管理,撤销压力大,2022-2026,★☆☆☆☆,"十四五期间被大量撤销；就业饱和"
市场营销,120202,管理,撤销压力大,2022-2026,★☆☆☆☆,"被大量撤销；AI替代风险高"
新闻学,050301,文学,撤销压力大,2022-2026,★☆☆☆☆,"就业率持续垫底；十四五大量停招"
公共事业管理,120401,管理,撤销压力大,2022-2026,★★☆☆☆,"就业去向过于依赖政府机关"
信息管理与信息系统,120102,管理,稳定,2000-2026,★★★☆☆,"数字经济需求；比纯管理好"
工业工程,120101,管理,稳定,2000-2026,★★★★☆,"制造业升级方向对口；比纯管理强"
